time10,lat10,lng10,accuracy10,altitude10,strenght10
593988,12.9258041,77.6858308,3,810,15
594989,12.9258179,77.6858269,3,810,15
595989,12.9258325,77.6858233,3,809,15
597039,12.9258479,77.6858207,3,810,15
598038,12.9258632,77.685819,3,810,15
599038,12.9258733,77.6858171,3,810,15
600038,12.9258807,77.6858123,3,808,15
601038,12.9258917,77.6858046,3,807,15
602039,12.9258987,77.6857947,3,805,15
603089,12.9259037,77.6857856,3,804,15
604140,12.9259129,77.6857759,3,805,26
605137,12.9259246,77.6857654,3,805,26
606137,12.9259373,77.6857575,3,806,26
607138,12.9259526,77.6857559,3,806,21
608140,12.9259672,77.6857575,3,806,27
609138,12.9259798,77.6857593,3,806,50
610167,12.9259948,77.6857593,3,806,50
611139,12.9260077,77.685757,3,806,50
612137,12.9260184,77.6857558,3,807,50
613137,12.9260255,77.6857525,3,806,50
614138,12.9260341,77.6857476,3,806,50
615138,12.9260458,77.6857402,3,805,50
616137,12.9260574,77.6857335,3,805,50
617138,12.9260679,77.6857281,3,805,21
618187,12.9260812,77.6857254,4,806,16
619189,12.9260943,77.6857266,4,805,16
620189,12.9261065,77.6857305,4,805,15
621189,12.9261177,77.6857327,5,805,18
622265,12.9261263,77.6857337,5,804,12
623239,12.9261314,77.685737,5,804,19
624239,12.926138,77.6857391,4,805,29
625238,12.9261456,77.6857375,4,804,29
626239,12.9261547,77.6857333,4,804,24
627288,12.9261643,77.685729,5,804,20
628292,12.9261745,77.6857266,4,804,20
629287,12.9261834,77.6857281,5,804,20
630290,12.9261941,77.6857316,4,804,17
631285,12.9262048,77.6857338,4,804,17
632289,12.9262161,77.6857346,5,805,21
633338,12.9262296,77.6857362,5,806,18
634339,12.9262449,77.6857368,5,806,23
635341,12.9262552,77.6857418,4,806,22
636385,12.9262659,77.6857482,4,807,18
637386,12.9262783,77.6857533,4,806,16
638385,12.926288,77.6857568,3,805,14
639386,12.9263,77.6857562,4,806,14
640386,12.9263152,77.6857565,4,807,14
641386,12.9263218,77.6857574,3,806,14
642386,12.9263296,77.685759,4,805,14
643385,12.9263416,77.6857623,4,805,14
644385,12.9263567,77.6857668,4,806,14
645386,12.9263701,77.6857692,4,805,14
646386,12.9263844,77.6857691,4,805,14
647386,12.9264004,77.6857662,4,804,32
648386,12.9264133,77.6857611,5,804,32
649436,12.9264278,77.6857548,5,805,32
650436,12.9264413,77.6857462,4,805,32
651435,12.9264546,77.6857423,4,804,32
652435,12.9264701,77.6857388,4,804,32
653442,12.9264829,77.6857381,4,804,32
654485,12.9264957,77.6857377,4,803,32
655488,12.9265073,77.685739,4,803,32
656488,12.9265175,77.6857422,4,804,32
657487,12.9265261,77.6857453,5,805,32
658517,12.9265333,77.6857496,5,805,32
659490,12.9265446,77.6857558,5,804,32
660488,12.9265564,77.6857616,6,806,32
661488,12.9265692,77.6857701,6,805,32
662489,12.9265794,77.6857746,5,805,32
663488,12.926585,77.6857774,4,804,32
664538,12.9265933,77.6857796,4,804,11
665537,12.9266034,77.6857761,3,802,11
666537,12.9266179,77.6857726,3,802,11
667537,12.9266332,77.6857684,3,802,11
668538,12.9266464,77.6857638,3,801,11
669537,12.9266607,77.6857588,3,801,11
670538,12.9266761,77.6857519,3,801,11
671537,12.9266878,77.6857469,4,802,11
672539,12.9266988,77.6857439,5,802,11
673539,12.9267143,77.685747,5,803,11
