timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1532483314,-0.256432,0.087848,1.533843,-0.672022,-1.552718,1.191749,-0.252653,-0.087735,-0.963571,0.171186,-0.165866,0.009011,-10.808655,-23.51944,-43.882751,,,,,,,
1532483314,-0.287971,0.063567,1.565323,-0.77695,-1.080027,2.145396,-0.283434,-0.063525,-0.956885,0.542238,-0.126829,0.075461,-12.697754,-22.769409,-43.738037,,,,,,,
1532483314,-0.280836,0.049105,1.604654,0.420537,0.758835,1.956118,-0.276825,-0.049086,-0.959665,-0.054229,-0.042482,-0.01087,-13.348022,-22.104523,-43.803772,,,,,,,
1532483314,-0.270518,0.057692,1.640596,0.972191,0.682487,1.422852,-0.266786,-0.05766,-0.962029,-0.082274,-0.083346,0.076348,-13.43158,-22.549103,-43.578064,,,,,,,
1532483314,-0.255137,0.065784,1.664299,0.519748,0.764347,0.822698,-0.251832,-0.065736,-0.965536,0.027619,0.049318,-0.031489,-13.384827,-22.898804,-43.44104,,,,,,,
1532483314,-0.245806,0.069715,1.679992,0.353862,0.459502,0.707688,-0.242747,-0.069658,-0.967585,0.059398,0.017992,-0.069387,-13.11322,-22.674042,-43.403198,,,,,,,
1532483314,-0.241266,0.073304,1.697083,0.431993,0.217497,0.874936,-0.23829,-0.073238,-0.968428,0.122949,-0.081364,-0.119386,-13.298279,-23.054718,-43.229187,,,,,,,
1532483314,-0.241997,0.079547,1.719637,0.653313,-0.049946,1.074234,-0.238884,-0.079463,-0.967791,0.13604,-0.101674,-0.132002,-13.834351,-23.224609,-43.033997,,,,,,,
1532483314,-0.243089,0.088255,1.742902,0.70585,0.157875,0.984572,-0.239765,-0.08814,-0.966821,0.156772,-0.033945,-0.050696,-14.222839,-23.607086,-42.740173,,,,,,,
1532483314,-0.235,0.095073,1.764731,0.496603,0.750783,0.985163,-0.231791,-0.094929,-0.968122,0.050105,-0.044368,0.059583,-14.20813,-23.721741,-42.717346,,,,,,,
